name,analysis_no_of_clusters_score,analysis_infiltration_score,analysis_mrca_score,analysis_total_score,n_d_0,n_d_1,n_d_2,n_d_3,n_d_4,n_s,n_p,Ne_d_0,Ne_d_1,Ne_d_2,Ne_d_3,Ne_d_4,Ne_s,Ne_p,Ne_actual,mut_haplotypes_sample, mut_haplotypes_population,method
3_15_1000_0.00025_0.0025_0.5_100,0.0538082437275985,0.7287115951178451,0.0836664273786249,0.1595224739837895,73,73,19,3,1,5,6,139081.42487657286,139081.42487657286,7101.838665761464,588.0798756483455,155.6086238524778,1120.537468596909,846.7548060721481,1000,96,1011.0,SINGER
5_15_1000_0.00025_0.0025_0.5_100,0.0620563714735565,0.7561645638334622,0.3286619546298736,0.2061634378009899,73,73,17,7,3,6,8,103584.16095945044,103584.16095945044,5720.002929914834,1683.3317289779277,574.3414058044547,1377.351363039199,1181.77014416186,1000,106,1028.0,SINGER
7_15_1000_0.00025_0.0025_0.7_100,0.0452614359113244,0.5791915325426106,0.1230571933453102,0.1370203140211152,94,94,31,9,4,6,6,114033.918810001,114033.918810001,12040.999988788892,2119.139517178093,759.9861920095327,1260.2730059271926,803.0825335687044,1000,146,1410.0,SINGER
8_14_1000_0.00025_0.00025_0.5_100,0.0736757523522229,0.7887027761081057,0.537724948914956,0.2505371854000153,78,78,17,4,2,7,7,137392.55968035036,137392.55968035036,5745.555762529466,823.7881696938739,350.5332441634088,1688.2963462700643,1013.7505139381246,1000,105,1010.0,SINGER
10_14_1000_0.00025_0.00025_0.5_100,0.0353287141475991,0.8947559443932397,0.1855896589685645,0.18678194040759,62,62,26,11,5,3,6,61538.19533644061,61538.19533644061,10931.4419512139,3074.2668843321967,1087.0906926139717,573.0760583514901,847.7217484521294,1000,107,1004.0,SINGER
9_14_1000_0.00025_0.00025_0.7_100,0.0368686868686868,0.7640035278142245,0.5688465357986422,0.2257355903500108,78,78,28,18,8,4,6,67410.2370927914,67410.2370927914,10256.554467919656,5384.604829584579,1815.5813690469984,758.779246780161,801.0812211532465,1000,147,1433.0,SINGER
7_14_1000_0.00025_0.00025_0.7_100,0.0336821451929365,0.8345178002318995,0.3742665104679448,0.2048951482400322,82,82,35,12,6,4,5,83960.87046383946,83960.87046383946,15046.640080396932,3150.048306558456,1276.795680557614,768.799923526017,650.3264145429616,1000,139,1419.0,SINGER
10_15_1000_0.00025_0.0025_0.5_100,0.0238399621212121,0.8573329076202639,0.1688052626590824,0.1706086990267504,78,78,14,2,1,2,5,194106.8771451513,194106.8771451513,4510.53057024207,357.3228635878246,155.6086238524778,357.3228635878246,685.2773891328243,1000,96,1010.0,SINGER
8_15_1000_0.00025_0.0025_0.7_100,0.0262773722627737,0.9007489922649526,0.2563108307376058,0.1919531340343253,93,93,29,8,3,3,3,127311.6524545277,127311.6524545277,11244.872526371444,1853.3969867813528,541.8372687471125,541.8372687471125,362.5877101261931,1000,137,1421.0,SINGER
9_13_1000_0.00025_2.5e-05_0.7_100,0.0524499654934437,0.9539688388251396,0.2350856456934134,0.2150731485231936,53,53,28,17,8,4,4,31488.191594457112,31488.191594457112,10606.845747093335,5097.913176540535,1849.4124047866449,770.1141424110231,504.17926923303366,1000,138,1406.0,SINGER
